Alpha_deg,H_flat_mm,H_profile_opt_mm,X_profile_opt_mm,Y_ground_opt_mm,Alpha_inverse_opt
50.50100200400802,2209.5738841483353,2209.5738841483353,1099.9023769679986,0.0,50.50100200400803
50.6813627254509,2214.3798149134354,2214.3798149134354,1106.6686958615608,0.0,50.68136272545089
50.86172344689379,2219.164422285303,2219.164422285303,1113.4501097396096,0.0,50.861723446893805
51.04208416833668,2223.927658852336,2223.927658852336,1120.2465514038033,0.0,51.042084168336686
51.22244488977956,2228.6694774147045,2228.6694774147045,1127.0579535068873,0.0,51.22244488977956
51.40280561122245,2233.38983098481,2233.38983098481,1133.8842485533607,0.0,51.402805611222455
51.583166332665336,2238.088672787757,2238.088672787757,1140.725368900146,0.0,51.58316633266534
51.76352705410822,2242.7659562618123,2242.7659562618123,1147.5812467572582,0.0,51.76352705410822
51.943887775551104,2247.42163505887,2247.42163505887,1154.451814188478,0.0,51.9438877755511
52.12424849699399,2252.0556630449087,2252.0556630449087,1161.3370031120246,0.0,52.12424849699399
52.30460921843688,2256.667994300449,2256.667994300449,1168.236745301229,0.0,52.304609218436894
52.48496993987976,2261.258583121008,2261.258583121008,1175.1509723852112,0.0,52.48496993987977
52.66533066132265,2265.8273840175534,2265.8273840175534,1182.0796158495584,0.0,52.665330661322635
52.84569138276554,2270.3743517169546,2270.3743517169546,1189.0226070370022,0.0,52.84569138276554
53.02605210420842,2274.8994411624276,2274.8994411624276,1195.9798771481005,0.0,53.02605210420842
53.206412825651306,2279.4026075139873,2279.4026075139873,1202.9513572419182,0.0,53.206412825651306
53.386773547094194,2283.8838061488873,2283.8838061488873,1209.936978236711,0.0,53.38677354709421
53.56713426853708,2288.342992662063,2288.342992662063,1216.9366709106093,0.0,53.56713426853709
53.74749498997996,2292.7801228665735,2292.7801228665735,1223.9503659023048,0.0,53.74749498997998
53.92785571142285,2297.1951527940373,2297.1951527940373,1230.9779937117378,0.0,53.92785571142285
54.10821643286574,2301.588038695069,2301.588038695069,1238.0194847007851,0.0,54.10821643286573
54.28857715430862,2305.9587370397135,2305.9587370397135,1245.0747690939504,0.0,54.28857715430865
54.46893787575151,2310.307204517874,2310.307204517874,1252.1437769790564,0.0,54.46893787575152
54.649298597194395,2314.633398039747,2314.633398039747,1259.2264383079373,0.0,54.64929859719442
54.829659318637276,2318.9372747362427,2318.9372747362427,1266.3226828971317,0.0,54.82965931863727
55.010020040080164,2323.218791959416,2323.218791959416,1273.43244042858,0.0,55.01002004008017
55.19038076152305,2327.477907282884,2327.477907282884,1280.5556404503202,0.0,55.19038076152306
55.37074148296593,2331.7145785022494,2331.7145785022494,1287.692212377185,0.0,55.370741482965926
55.55110220440882,2335.9287636355184,2335.9287636355184,1294.8420854915032,0.0,55.55110220440883
55.73146292585171,2340.120420923515,2340.120420923515,1302.0051889438005,0.0,55.731462925851744
55.9118236472946,2344.289508830296,2344.289508830296,1309.1814517534979,0.0,55.911823647294625
56.09218436873748,2348.4359860435634,2348.4359860435634,1316.3708028096203,0.0,56.092184368737485
56.272545090180365,2352.5598114750724,2352.5598114750724,1323.5731708714975,0.0,56.27254509018034
56.45290581162325,2356.660944261041,2356.660944261041,1330.7884845694718,0.0,56.45290581162328
56.633266533066134,2360.7393437625487,2360.7393437625487,1338.0166724056041,0.0,56.633266533066134
56.81362725450902,2364.7949695659486,2364.7949695659486,1345.2576627543835,0.0,56.813627254509036
56.99398797595191,2368.8277814832586,2368.8277814832586,1352.511383863437,0.0,56.993987975951924
57.17434869739479,2372.8377395525654,2372.8377395525654,1359.7777638542375,0.0,57.17434869739479
57.35470941883768,2376.8248040384206,2376.8248040384206,1367.056730722822,0.0,57.35470941883768
57.53507014028057,2380.78893543223,2380.78893543223,1374.3482123405,0.0,57.53507014028058
